now.Time,c,Transition,WaitA,WaitB,WaitC,DeskA,DeskB,DeskC,c.WaitTime,leave,Gone
44.61,c33,Arrive (Q_C),[],[c31],[c33],Free,Free,Free,,,
44.61,c33,start_desk_C,[],[c31],[],Free,Free,"(c33, End=48.3)",0.00,,
47.07,c31,start_desk_B,[],[],[],Free,"(c31, End=51.4)","(c33, End=48.3)",3.76,,
47.07,c28,leave,[],[],[],Free,Free,"(c33, End=48.3)",,c28,
48.33,c33,leave,[],[],[],Free,Free,Free,,c33,
49.03,c34,Arrive (Q_C),[],[],[c34],Free,Free,Free,,,
49.03,c34,start_desk_C,[],[],[],Free,Free,"(c34, End=50.7)",0.00,,
50.69,c34,leave,[],[],[],Free,Free,Free,,c34,
51.18,c35,Arrive (Q_A),[c35],[],[],Free,Free,Free,,,
51.18,c35,start_desk_A,[],[],[],"(c35, End=52.6)",Free,Free,0.00,,
51.44,c31,leave,[],[],[],"(c35, End=52.6)",Free,Free,,c31,
52.59,c35,leave,[],[],[],Free,Free,Free,,c35,
54.91,c36,Arrive (Q_C),[],[],[c36],Free,Free,Free,,,
54.91,c36,start_desk_C,[],[],[],Free,Free,"(c36, End=56.4)",0.00,,
56.38,c37,Arrive (Q_B),[],[c37],[],Free,Free,"(c36, End=56.4)",,,
56.38,c37,start_desk_B,[],[],[],Free,"(c37, End=59.4)","(c36, End=56.4)",0.00,,
56.42,c36,leave,[],[],[],Free,"(c37, End=59.4)",Free,,c36,
56.97,c38,Arrive (Q_A),[c38],[],[],Free,"(c37, End=59.4)",Free,,,
56.97,c38,start_desk_A,[],[],[],"(c38, End=57.8)","(c37, End=59.4)",Free,0.00,,
57.45,c39,Arrive (Q_C),[],[],[c39],"(c38, End=57.8)","(c37, End=59.4)",Free,,,
57.45,c39,start_desk_C,[],[],[],"(c38, End=57.8)","(c37, End=59.4)","(c39, End=60.4)",0.00,,
57.76,c38,leave,[],[],[],Free,"(c37, End=59.4)","(c39, End=60.4)",,c38,
58.11,c40,Arrive (Q_B),[],[c40],[],Free,"(c37, End=59.4)","(c39, End=60.4)",,,
59.08,c41,Arrive (Q_B),[],"[c40, c41]",[],Free,"(c37, End=59.4)","(c39, End=60.4)",,,
59.25,c42,Arrive (Q_B),[],"[c40, c41, c42]",[],Free,"(c37, End=59.4)","(c39, End=60.4)",,,
59.42,c40,start_desk_B,[],"[c41, c42]",[],Free,"(c40, End=63.8)","(c39, End=60.4)",1.31,,
59.42,c37,leave,[],"[c41, c42]",[],Free,Free,"(c39, End=60.4)",,c37,
59.43,c43,Arrive (Q_A),[c43],"[c41, c42]",[],Free,Free,"(c39, End=60.4)",,,
59.43,c43,start_desk_A,[],"[c41, c42]",[],"(c43, End=60.0)",Free,"(c39, End=60.4)",0.00,,
59.80,c44,Arrive (Q_B),[],"[c41, c42, c44]",[],"(c43, End=60.0)",Free,"(c39, End=60.4)",,,
60.04,c43,leave,[],"[c41, c42, c44]",[],Free,Free,"(c39, End=60.4)",,c43,
60.18,c45,Arrive (Q_A),[c45],"[c41, c42, c44]",[],Free,Free,"(c39, End=60.4)",,,
60.18,c45,start_desk_A,[],"[c41, c42, c44]",[],"(c45, End=64.9)",Free,"(c39, End=60.4)",0.00,,
60.39,c39,leave,[],"[c41, c42, c44]",[],"(c45, End=64.9)",Free,Free,,c39,
63.79,c41,start_desk_B,[],"[c42, c44]",[],"(c45, End=64.9)","(c41, End=69.2)",Free,4.71,,
63.79,c40,leave,[],"[c42, c44]",[],"(c45, End=64.9)",Free,Free,,c40,
63.89,c46,Arrive (Q_B),[],"[c42, c44, c46]",[],"(c45, End=64.9)",Free,Free,,,
64.76,c47,Arrive (Q_B),[c47],"[c42, c44, c46]",[],"(c45, End=64.9)",Free,Free,,,
64.76,c47,Switch B->A (c47),[c47],"[c42, c44, c46]",[],"(c45, End=64.9)",Free,Free,,,
64.89,c42,start_desk_A,[c47],"[c42, c44, c46]",[],"(c42, End=66.0)",Free,Free,5.63,,
64.89,c45,leave,[c47],"[c42, c44, c46]",[],Free,Free,Free,,c45,
66.01,c44,start_desk_A,[c47],"[c42, c44, c46]",[],"(c44, End=73.3)",Free,Free,6.22,,
66.01,c42,leave,[c47],"[c42, c44, c46]",[],Free,Free,Free,,c42,
67.58,c48,Arrive (Q_B),[c47],"[c42, c44, c46]",[c48],Free,Free,Free,,,
67.58,c48,Switch B->C (c48),[c47],"[c42, c44, c46]",[c48],Free,Free,Free,,,
68.79,c49,Arrive (Q_C),[c47],"[c42, c44, c46]","[c48, c49]",Free,Free,Free,,,
68.79,c49,start_desk_C,[c47],"[c42, c44, c46]",[c48],Free,Free,"(c49, End=72.6)",0.00,,
69.15,c46,start_desk_B,[c47],"[c42, c44]",[c48],Free,"(c46, End=72.7)","(c49, End=72.6)",5.26,,
69.15,c41,leave,[c47],"[c42, c44]",[c48],Free,Free,"(c49, End=72.6)",,c41,
69.55,c50,Arrive (Q_C),[c47],"[c42, c44]","[c48, c50]",Free,Free,"(c49, End=72.6)",,,
70.10,c51,Arrive (Q_A),"[c47, c51]","[c42, c44]","[c48, c50]",Free,Free,"(c49, End=72.6)",,,
71.84,c52,Arrive (Q_C),"[c47, c51]","[c42, c44]","[c48, c50, c52]",Free,Free,"(c49, End=72.6)",,,
71.96,c53,Arrive (Q_A),"[c47, c51, c53]","[c42, c44]","[c48, c50, c52]",Free,Free,"(c49, End=72.6)",,,
72.24,c54,Arrive (Q_B),"[c47, c51, c53]","[c42, c44, c54]","[c48, c50, c52]",Free,Free,"(c49, End=72.6)",,,
72.60,c50,start_desk_C,"[c47, c51, c53]","[c42, c44, c54]","[c48, c52]",Free,Free,"(c50, End=76.1)",3.06,,
72.60,c49,leave,"[c47, c51, c53]","[c42, c44, c54]","[c48, c52]",Free,Free,Free,,c49,
72.71,c47,start_desk_B,"[c47, c51, c53]","[c42, c44, c54]","[c48, c52]",Free,"(c47, End=78.4)",Free,7.95,,
72.71,c46,leave,"[c47, c51, c53]","[c42, c44, c54]","[c48, c52]",Free,Free,Free,,c46,
73.11,c55,Arrive (Q_A),"[c47, c51, c53, c55]","[c42, c44, c54]","[c48, c52]",Free,Free,Free,,,
73.34,c51,start_desk_A,"[c47, c53, c55]","[c42, c44, c54]","[c48, c52]","(c51, End=73.4)",Free,Free,3.24,,
73.34,c44,leave,"[c47, c53, c55]","[c42, c44, c54]","[c48, c52]",Free,Free,Free,,c44,
73.38,c53,start_desk_A,"[c47, c55]","[c42, c44, c54]","[c48, c52]","(c53, End=73.6)",Free,Free,1.43,,
73.38,c51,leave,"[c47, c55]","[c42, c44, c54]","[c48, c52]",Free,Free,Free,,c51,
73.50,c56,Arrive (Q_C),"[c47, c55]","[c42, c44, c54]","[c48, c52, c56]",Free,Free,Free,,,
73.59,c55,start_desk_A,[c47],"[c42, c44, c54]","[c48, c52, c56]","(c55, End=74.8)",Free,Free,0.49,,
73.59,c53,leave,[c47],"[c42, c44, c54]","[c48, c52, c56]",Free,Free,Free,,c53,
74.31,c57,Arrive (Q_A),"[c47, c57]","[c42, c44, c54]","[c48, c52, c56]",Free,Free,Free,,,
74.78,c57,start_desk_A,[c47],"[c42, c44, c54]","[c48, c52, c56]","(c57, End=78.0)",Free,Free,0.48,,
74.78,c55,leave,[c47],"[c42, c44, c54]","[c48, c52, c56]",Free,Free,Free,,c55,
76.14,c52,start_desk_C,[c47],"[c42, c44, c54]","[c48, c56]",Free,Free,"(c52, End=77.3)",4.30,,
76.14,c50,leave,[c47],"[c42, c44, c54]","[c48, c56]",Free,Free,Free,,c50,
77.26,c56,start_desk_C,[c47],"[c42, c44, c54]",[c48],Free,Free,"(c56, End=80.9)",3.76,,
77.26,c52,leave,[c47],"[c42, c44, c54]",[c48],Free,Free,Free,,c52,
78.05,c57,leave,[c47],"[c42, c44, c54]",[c48],Free,Free,Free,,c57,
78.18,c58,Arrive (Q_C),[c47],"[c42, c44, c54]","[c48, c58]",Free,Free,Free,,,
78.42,c48,start_desk_B,[c47],"[c42, c44, c54]","[c48, c58]",Free,"(c48, End=83.0)",Free,10.84,,
78.42,c47,leave,[c47],"[c42, c44, c54]","[c48, c58]",Free,Free,Free,,c47,
